dataset_name,claim,task,context,label,question,answer,explanation
fairytaleqa,,qa,"but his mother , who was still living , objected : "" she can not speak , "" said she , "" and , maybe , she belongs to the troll - folk . "" but the prince would not be satisfied until he had won her . when , after a time , heaven bestowed a child upon the queen , the prince set a strong guard about her . but suddenly they all fell asleep , and her foster - mother came , cut the child 's little finger , rubbed some of the blood over the mouth and hands of the queen , and said : "" now you shall grieve just as i did when you let the star slip out ! "" and with that she disappeared with the child . when those whom the prince had set to keep guard opened their eyes again , they thought that the queen had devoured her child , and the old queen wanted to have her burned ; but the prince loved her so very tenderly , that after much pleading he succeeded in having her saved from punishment , though only with the greatest difficulty .",,what did people think when they opened their eyes again ?,the queen devoured her child .,The passage states that when the guards opened their eyes they had thought the queen devoured her child. We can test this without mentioning the guards
fairytaleqa,,qa,"so off the poor princess went to the great town , and stood in the corner of the market with her eggs . by and by there came along a tipsy countryman - tramp ! tramp ! tramp ! as for the basket of eggs , he minded them no more than so many green apples . smash ! and there they lay on the ground , and were fit for nothing but to patch broken promises , as we say in our town . then how the poor princess did wring her hands and cry and cry , for she was afraid to go home to her husband , because of the hard words he would be sure to fling at her . all the same , there was no other place for her to go ; so back she went .",,why did the princess feel afraid to go home to her husband ?,because of the hard words he would be sure to fling at her .,The passage explicitly mentions the hard words as what the princess was afraid of
fairytaleqa,,qa,"then the young prince answered with a proud smile:-""i am the son of the king and my name is yamato , and i have been sent by my father as the avenger of evil to bring death to all rebels ! no longer shall robbery and murder hold my people in terror ! "" and he held the dagger dripping red above the rebel 's head . "" ah , "" gasped the dying man with a great effort , "" i have often heard of you . you are indeed a strong man to have so easily overcome us . allow me to give you a new name . from henceforth you shall be known as yamato take . our title i bequeath to you as the bravest man in yamato . """,,what was the new name given to yamato ?,yamato take .,the phrase henceforth you shall be known as yamato take is clearly the assignment of a new name
fever,Chris Terrio died in 1976.,fv,"Terrio wrote the screenplay for Batman v Superman : Dawn of Justice , the follow-up to Zack Snyder 's Man of Steel , based on an earlier draft by David S. Goyer .
Man of Steel is a 2013 superhero film featuring the DC Comics character Superman .",0.0,,,The context mentions Chris Terrio but does not state when he died. 
fever,Seth Rogen is a car.,fv,He has also done voice work for the films Horton Hears a Who !,0.0,,,Seth Rogan is a human and not a car
fever,Good Will Hunting is a tragedy.,fv,"Good Will Hunting is a 1997 American drama film , directed by Gus Van Sant , and starring Robin Williams , Matt Damon , Ben Affleck , Minnie Driver and Stellan Skarsgård .",0.0,,,the context states Good Will Hunting is a drama film and not a tragedy
fever,Carbon has a number that is atomic.,fv,Carbon ( from carbo `` coal '' ) is a chemical element with symbol C and atomic number 6 .,1.0,,,the context states an atomic number for carbon
fever,Red is a film of multiple genres.,fv,Red is a 2010 American action comedy film inspired by the limited comic book series of the same name created by Warren Ellis and Cully Hamner and published by the DC Comics imprint Homage .,1.0,,,Red is mentioned to have both action and comedy genres
fever,Laurence Fishburne acted in a movie.,fv,"Laurence John Fishburne III ( born July 30 , 1961 ) is an American actor , playwright , director and producer , best known for playing Morpheus in The Matrix trilogy , Jason `` Furious '' Styles in the 1991 drama film Boyz n the Hood and Tyrone `` Mr. Clean '' Miller in the 1979 war film Apocalypse Now .
Boyz n the Hood is a 1991 American teen hood drama film written and directed by John Singleton in his directorial debut , and starring Cuba Gooding Jr. , Ice Cube , Morris Chestnut , Laurence Fishburne , Nia Long , Regina King and Angela Bassett .",1.0,,,Laurance states is said to have acted in a movie
narrativeqa,,qa," A nameless narrator goes to Venice to find Juliana Bordereau, an old lover of Jeffrey Aspern, a famous and now dead American poet. The narrator presents himself to the old woman as a prospective lodger and is prepared to court her niece Miss Tita (renamed Miss Tina in later editions), a plain, somewhat naive spinster, in hopes of getting a look at some of Aspern's letters and other papers kept by Juliana. Miss Tita had denied the existence of any such papers in a letter to the narrator and his publishing partner, but he believes she was dissembling on instructions from Juliana. The narrator eventually discloses his intentions to Miss Tita, who promises to help him.
Later, Juliana offers to sell a portrait miniature of Aspern to the narrator for an exorbitant price. She doesn't mention Jeffrey Aspern's name, but the narrator still believes she possesses some of his letters. When the old woman falls ill, the narrator ventures into her room and gets caught by Juliana as he is about to rifle her desk for the letters. Juliana calls the narrator a ""publishing scoundrel"" and collapses. The narrator flees, and when he returns some days later, he discovers that Juliana has died. Miss Tita hints that he can have the Aspern letters if he marries her.
Again, the narrator flees. At first he feels he can never accept the proposal, but gradually he begins to change his mind. When he returns to see Miss Tita, she bids him farewell and tells him that she has burned all the letters one by one. The narrator never sees the precious papers, but he does send Miss Tita some money for the miniature portrait of Aspern that she gives him.",,What does the main character do when the innkeeper becomes ill?,He sneaks into her room to look for the papers of the poet he is investigating. ,The passage states that when the old woman falls ill the narrator ventures into her room to look for the papers
